Product Name,Price,URL
,$20.00,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
,$20.00,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
,$103.00,https://www.ebay.com/itm/295966006614?hash=item44e8f2dd56:g:hvoAAOSwwrJlHghs
,$143.00,https://www.ebay.com/itm/295498017963?epid=630177602&hash=item44cd0decab:g:6NUAAOSwgxxkJjPz
,$95.00,https://www.ebay.com/itm/295972473825?epid=1836866946&hash=item44e9558be1:g:RhsAAOSwbl5lIpiP
,$99.00,https://www.ebay.com/itm/295262098678?hash=item44befe14f6:g:NzsAAOSwV8dmYcIK
,$144.00,https://www.ebay.com/itm/296231273220?epid=12039526727&hash=item44f8c28304:g:M98AAOSwljNl0XKj
,$169.00,https://www.ebay.com/itm/295534227402?epid=5008079658&hash=item44cf366fca:g:vbAAAOSwOkNj8Miw
,$473.00,https://www.ebay.com/itm/296329082307?hash=item44fe96f5c3:g:TiIAAOSwjBtmB78r
,$99.00,https://www.ebay.com/itm/295262098171?hash=item44befe12fb:g:WWkAAOSwCKxmYLez
,$106.00,https://www.ebay.com/itm/295784995523?epid=658499554&hash=item44de28dac3:g:IikAAOSwaQtkmuRh
,$185.00,https://www.ebay.com/itm/295022595089?hash=item44b0b78c11:g:fgsAAOSw9lRinFso
,$109.00,https://www.ebay.com/itm/296053395120?epid=1084216754&hash=item44ee284eb0:g:zgoAAOSwcwZlV3VR
,$95.00,https://www.ebay.com/itm/296512165628?epid=27017010777&hash=item45098096fc:g:GM0AAOSwQzJmcZFE
